timestamp,loom_id,loom_type,rpm,temperature,vibration,motor_current,warp_tension,weft_tension,humidity,production_rate,efficiency,defect_rate,machine_status,fault_type
2026-09-05 14:50:30,L003,Projectile,708,57.3,0.92,11.1,33.7,24.3,58.3,95.2,93.6,0.46,NORMAL,
2026-09-05 14:55:30,L001,Air-Jet,698,60.0,1.22,13.82,29.9,22.6,65.7,89.4,95.1,1.29,NORMAL,
2026-09-05 15:00:30,L001,Air-Jet,778,49.8,1.21,12.88,33.8,26.8,56.3,90.6,96.4,1.72,NORMAL,
2026-09-05 15:05:30,L003,Projectile,763,48.2,1.23,10.65,27.7,27.9,66.5,93.6,94.6,1.37,NORMAL,
2026-09-05 15:10:30,L004,Water-Jet,672,50.8,0.89,11.58,30.6,26.2,52.2,89.6,97.4,0.55,NORMAL,
2026-09-05 15:15:30,L004,Water-Jet,655,59.6,1.33,11.64,29.8,23.1,60.2,88.7,94.0,0.61,NORMAL,
2026-09-05 15:20:30,L002,Rapier,650,53.7,2.29,10.44,29.8,25.6,61.5,89.3,97.4,0.56,NORMAL,
2026-09-05 15:25:30,L001,Air-Jet,720,51.7,1.76,9.47,29.4,25.4,59.8,96.8,94.1,1.62,NORMAL,
2026-09-05 15:30:30,L004,Water-Jet,725,48.8,1.08,9.23,30.8,24.5,67.0,88.2,96.1,1.78,NORMAL,
2026-09-05 15:35:30,L001,Air-Jet,722,50.0,2.15,9.55,30.1,23.1,65.9,95.9,93.1,1.59,NORMAL,
2026-09-05 15:40:30,L004,Water-Jet,555,67.2,4.82,17.62,30.7,27.3,59.3,92.8,76.1,2.57,CRITICAL,BEARING_FAULT
2026-09-05 15:45:30,L002,Rapier,536,69.2,4.93,15.25,31.0,24.3,65.5,90.2,66.4,3.9,CRITICAL,BEARING_FAULT
2026-09-05 15:50:30,L002,Rapier,560,69.4,7.25,16.66,30.6,22.6,66.5,92.2,73.9,4.99,CRITICAL,BEARING_FAULT
2026-09-05 15:55:30,L003,Projectile,631,80.9,2.09,18.16,30.6,25.6,53.2,92.7,71.2,0.41,WARNING,OVERHEATING
2026-09-05 16:00:30,L001,Air-Jet,586,76.2,1.89,15.36,27.8,24.1,58.9,93.8,77.1,1.45,WARNING,OVERHEATING
2026-09-05 16:05:30,L004,Water-Jet,571,81.0,2.32,17.66,28.2,24.0,62.3,94.8,77.6,0.84,WARNING,OVERHEATING
2026-09-05 16:10:30,L003,Projectile,763,57.2,1.51,13.99,38.0,35.5,56.4,88.4,83.1,4.41,WARNING,YARN_TENSION_FAULT
2026-09-05 16:15:30,L004,Water-Jet,708,59.4,1.63,12.63,43.0,37.4,65.5,91.1,83.5,4.42,WARNING,YARN_TENSION_FAULT
2026-09-05 16:20:30,L001,Air-Jet,583,57.3,1.65,10.04,30.5,23.8,63.3,64.6,63.1,3.45,WARNING,LOW_PRODUCTION
2026-09-05 16:25:30,L003,Projectile,508,59.8,1.22,10.68,28.0,28.8,63.5,69.2,70.6,3.02,WARNING,LOW_PRODUCTION
